,method,parameter,total_features,noise_level,noisy_score,score,features_names,feature_weights,feature_complexities
670,omp,8,23,1.0,0.9155361698623804,0.9999995222296326,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Bool[And(Not(holding),Nominal(a))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999897505017901, -0.00018250043062889644, 0.0002914092636735636, 0.002329680640014335, -0.0006814028532231964, 0.000732060466402365, 1.9987787645715243]","[1, 3, 3, 4, 4, 4, 4]"
671,omp,9,23,1.0,0.9155361698623804,0.9999995222296326,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Bool[And(Not(holding),Nominal(a))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999897505017901, -0.00018250043062889644, 0.0002914092636735636, 0.002329680640014335, -0.0006814028532231964, 0.000732060466402365, 1.9987787645715243]","[1, 3, 3, 4, 4, 4, 4]"
672,omp,1,24,0.0,0.9776440861356488,0.9776440861356488,"['Num[Exists(Star(on),Nominal(a))]']",[1.9675829902403856],[4]
673,omp,2,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
674,omp,3,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
675,omp,4,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
676,omp,5,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
677,omp,6,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
678,omp,7,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
679,omp,8,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
680,omp,9,24,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
681,omp,1,24,0.25,0.9720512385154044,0.9776440740722282,"['Num[Exists(Star(on),Nominal(a))]']",[1.9675723571575845],[4]
682,omp,2,24,0.25,0.9942719719279207,0.9999999872953813,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.999830644263505, 1.9999838769106304]","[1, 4]"
683,omp,3,24,0.25,0.9942719968182756,0.9999999622620864,"['Bool[holding]', 'Num[Exists(on,ontable)]', 'Num[Exists(Star(on),Nominal(a))]']","[0.999642909208354, -0.000863970361387377, 1.9998640365015288]","[1, 3, 4]"
684,omp,4,24,0.25,0.9942720063781839,0.9999999526472776,"['Bool[holding]', 'Num[Exists(on,ontable)]', 'Num[Exists(Star(on),Nominal(a))]', 'Num[Exists(on,Not(Nominal(a)))]']","[0.9993260608515683, -0.0011078316757038968, 1.9998416927869975, -0.00037218637317272063]","[1, 3, 4, 4]"
685,omp,5,24,0.25,0.9942720107919026,0.9999999482082118,"['Bool[holding]', 'Num[Exists(on,ontable)]', 'Bool[Exists(Inverse(on),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]', 'Num[Exists(on,Not(Nominal(a)))]']","[0.9993483363269412, -0.0010825802431545272, 0.00047217079061650564, 1.999858636650103, -0.000423080255585459]","[1, 3, 4, 4, 4]"
686,omp,6,24,0.25,0.9942720145656754,0.9999999444127672,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Bool[Exists(Inverse(on),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]', 'Num[Exists(on,Not(Nominal(a)))]']","[0.9994281721597671, 0.0006690349242939578, -0.0011010219019105172, 0.00036236733315324316, 1.999712782938073, -0.00031452683915497167]","[1, 3, 3, 4, 4, 4]"
